Group,Signature,Score
Model,DAM,7.24
Model,DAM,6.684
Model,DAM,7.628
Model,DAM,11.609333333333334
Model,DAM,8.925333333333334
Model,DAM,12.884
Model,DAM,12.926666666666666
Model,DAM,10.924
Model,DAM,12.876
Model,DAM,11.758666666666667
Model,DAM,13.617333333333335
Model,DAM,12.474666666666666
Model,DAM,12.332
Model,DAM,15.773333333333332
Model,DAM,10.133333333333335
Model,DAM,15.713333333333333
Model,DAM,14.928
Model,DAM,8.305333333333333
Model,DAM,7.3213333333333335
Model,DAM,10.824
Model,DAM,8.984
Model,DAM,12.358666666666666
Model,DAM,12.24
Model,DAM,9.105333333333334
Model,DAM,15.04
Model,DAM,9.629333333333333
Model,DAM,9.729333333333335
Model,DAM,12.558666666666666
Model,DAM,13.982666666666667
Model,DAM,12.713333333333335
Model,DAM,13.982666666666667
Model,DAM,10.324
Model,DAM,9.173333333333334
Model,DAM,13.034666666666666
Model,DAM,7.106666666666667
Model,DAM,12.726666666666667
Model,DAM,6.932
Model,DAM,8.386666666666667
Model,DAM,10.674666666666667
Model,DAM,8.516
Model,DAM,11.485333333333333
Model,DAM,11.262666666666666
Model,DAM,7.404
Model,DAM,9.508
Model,DAM,8.308
Model,DAM,9.102666666666666
Model,DAM,14.693333333333333
Model,DAM,15.469333333333331
Model,DAM,10.456
Model,DAM,9.306666666666667
Model,DAM,15.3
Model,DAM,10.344
Model,DAM,12.813333333333334
Model,DAM,7.866666666666666
Model,DAM,8.620000000000001
Model,DAM,9.509333333333334
Model,DAM,9.232
Model,DAM,10.790666666666667
Model,DAM,13.330666666666666
Model,DAM,8.205333333333334
Model,DAM,12.058666666666666
Model,DAM,12.118666666666666
Model,DAM,10.577333333333334
Model,DAM,13.601333333333335
Model,DAM,14.030666666666667
Model,DAM,15.488
Model,DAM,9.101333333333335
Model,DAM,7.6946666666666665
Model,DAM,9.673333333333334
Model,DAM,10.264
Model,DAM,9.330666666666666
Model,DAM,10.742666666666667
Model,DAM,7.594666666666666
Model,DAM,9.414666666666665
Model,DAM,13.345333333333334
Model,DAM,11.913333333333334
Model,DAM,8.733333333333334
Model,DAM,12.593333333333334
Model,DAM,6.710666666666667
Model,DAM,6.809333333333333
Model,DAM,11.316
Model,DAM,11.553333333333335
Model,DAM,11.356
Model,DAM,14.721333333333334
Model,DAM,17.352
Model,DAM,9.692
Model,DAM,10.857333333333333
Model,DAM,8.892
Model,DAM,12.254666666666665
Model,DAM,12.445333333333334
Model,DAM,7.606666666666666
Model,DAM,10.4
Model,DAM,8.774666666666667
Model,DAM,7.316
Model,DAM,10.157333333333334
Model,DAM,10.594666666666667
Model,DAM,7.9559999999999995
Model,DAM,10.614666666666666
Model,DAM,10.904
Model,DAM,10.757333333333333
Model,DAM,10.161333333333333
Model,DAM,11.975999999999999
Model,DAM,15.141333333333334
Model,DAM,22.372
Model,DAM,7.990666666666666
Model,DAM,7.788
Model,DAM,9.466666666666667
Model,DAM,7.873333333333334
Model,DAM,10.461333333333334
Model,DAM,8.696
Model,DAM,6.916
Model,DAM,12.930666666666665
Model,DAM,7.898666666666666
Model,DAM,7.876
Model,DAM,10.526666666666666
Model,DAM,10.574666666666666
Model,DAM,9.765333333333334
Model,DAM,14.050666666666666
Model,DAM,11.066666666666666
Model,DAM,11.468
Model,DAM,12.749333333333334
Model,DAM,17.32933333333333
Model,DAM,16.53066666666667
Model,DAM,7.717333333333334
Model,DAM,5.653333333333333
Model,DAM,8.174666666666667
Model,DAM,10.049333333333333
Model,DAM,8.542666666666666
Model,DAM,9.665333333333335
Model,DAM,7.866666666666666
Model,DAM,7.661333333333334
Model,DAM,8.189333333333334
Model,DAM,7.884
Model,DAM,9.330666666666666
Model,DAM,9.249333333333334
Model,DAM,7.701333333333334
Model,DAM,10.16
Model,DAM,11.396
Model,DAM,13.344
Model,DAM,17.12933333333333
Model,DAM,15.102666666666666
Model,DAM,15.688
Model,DAM,10.614666666666666
Model,DAM,7.221333333333334
Model,DAM,9.256
Model,DAM,10.522666666666666
Model,DAM,7.414666666666666
Model,DAM,9.02
Model,DAM,7.768
Model,DAM,8.168
Model,DAM,10.088
Model,DAM,10.213333333333335
Model,DAM,8.893333333333334
Model,DAM,9.248
Model,DAM,10.265333333333334
Model,DAM,11.065333333333333
Model,DAM,10.756
Model,DAM,14.849333333333334
Model,DAM,17.082666666666668
Model,DAM,16.412
Model,DAM,10.12
Model,DAM,4.832
Model,DAM,4.8533333333333335
Model,DAM,8.630666666666666
Model,DAM,6.393333333333333
Model,DAM,7.832
Model,DAM,5.436
Model,DAM,5.1306666666666665
Model,DAM,7.645333333333334
Model,DAM,8.826666666666666
Model,DAM,5.089333333333333
Model,DAM,10.450666666666667
Model,DAM,9.908
Model,DAM,10.094666666666667
Model,DAM,11.986666666666666
Model,DAM,11.777333333333335
Model,DAM,13.868
Model,DAM,18.986666666666668
Model,DAM,11.385333333333334
Model,DAM,8.872
Model,DAM,7.272
Model,DAM,5.52
Model,DAM,6.002666666666667
Model,DAM,6.824
Model,DAM,5.496
Model,DAM,7.796
Model,DAM,7.405333333333334
Model,DAM,6.716
Model,DAM,11.137333333333334
Model,DAM,6.709333333333333
Model,DAM,11.276
Model,DAM,9.312
Model,DAM,10.764
Model,DAM,13.589333333333334
Model,DAM,16.468
Model,DAM,17.72533333333333
Model,DAM,14.184
Model,DAM,7.436
Model,DAM,7.356
Model,DAM,7.474666666666666
Model,DAM,6.317333333333333
Model,DAM,7.46
Model,DAM,6.562666666666667
Model,DAM,4.729333333333333
Model,DAM,6.16
Model,DAM,5.974666666666667
Model,DAM,11.8
Model,DAM,9.514666666666667
Model,DAM,7.612
Model,DAM,7.510666666666666
Model,DAM,8.978666666666665
Model,DAM,10.792
Model,DAM,10.054666666666666
Model,DAM,15.808
Model,DAM,14.489333333333335
Model,DAM,6.341333333333333
Model,DAM,7.721333333333334
Model,DAM,8.768
Model,IFN,-0.06711409395973154
Model,IFN,-0.0738255033557047
Model,IFN,0.3395973154362416
Model,IFN,-0.12080536912751678
Model,IFN,-0.06711409395973154
Model,IFN,-0.087248322147651
Model,IFN,-0.04697986577181208
Model,IFN,0.09261744966442954
Model,IFN,-0.10738255033557047
Model,IFN,-0.06711409395973154
Model,IFN,-0.08053691275167785
Model,IFN,0.27919463087248325
Model,IFN,0.112751677852349
Model,IFN,-0.12080536912751678
Model,IFN,-0.10738255033557047
Model,IFN,-0.10738255033557047
Model,IFN,-0.174496644295302
Model,IFN,0.052348993288590606
Model,IFN,-0.12751677852348994
Model,IFN,0.09261744966442954
Model,IFN,0.1261744966442953
Model,IFN,-0.0738255033557047
Model,IFN,-0.053691275167785234
Model,IFN,-0.09395973154362416
Model,IFN,0.112751677852349
Model,IFN,0.13288590604026845
Model,IFN,-0.026845637583892617
Model,IFN,-0.06711409395973154
Model,IFN,-0.06040268456375839
Model,IFN,-0.08053691275167785
Model,IFN,0.3261744966442953
Model,IFN,-0.10738255033557047
Model,IFN,0.07248322147651007
Model,IFN,-0.12080536912751678
Model,IFN,-0.10067114093959731
Model,IFN,-0.10738255033557047
Model,IFN,-0.09395973154362416
Model,IFN,-0.11409395973154363
Model,IFN,-0.12080536912751678
Model,IFN,-0.087248322147651
Model,IFN,-0.053691275167785234
Model,IFN,-0.16778523489932887
Model,IFN,-0.09395973154362416
Model,IFN,-0.06711409395973154
Model,IFN,-0.10738255033557047
Model,IFN,-0.0738255033557047
Model,IFN,-0.12751677852348994
Model,IFN,-0.10738255033557047
Model,IFN,0.11946308724832216
Model,IFN,-0.08053691275167785
Model,IFN,-0.10067114093959731
Model,IFN,-0.09395973154362416
Model,IFN,-0.12080536912751678
Model,IFN,0.4993288590604027
Model,IFN,0.13288590604026845
Model,IFN,-0.04697986577181208
Model,IFN,-0.10738255033557047
Model,IFN,-0.087248322147651
Model,IFN,-0.040268456375838924
Model,IFN,0.112751677852349
Model,IFN,-0.06040268456375839
Model,IFN,-0.0738255033557047
Model,IFN,-0.06040268456375839
Model,IFN,-0.06040268456375839
Model,IFN,-0.08053691275167785
Model,IFN,0.0993288590604027
Model,IFN,0.29932885906040274
Model,IFN,0.08590604026845639
Model,IFN,-0.087248322147651
Model,IFN,0.33288590604026846
Model,IFN,-0.11409395973154363
Model,IFN,0.27919463087248325
Model,IFN,-0.09395973154362416
Model,IFN,0.0993288590604027
Model,IFN,0.112751677852349
Model,IFN,0.1261744966442953
Model,IFN,-0.1610738255033557
Model,IFN,-0.06711409395973154
Model,IFN,-0.06711409395973154
Model,IFN,-0.087248322147651
Model,IFN,-0.09395973154362416
Model,IFN,-0.174496644295302
Model,IFN,0.13288590604026845
Model,IFN,-0.09395973154362416
Model,IFN,-0.06040268456375839
Model,IFN,-0.09395973154362416
Model,IFN,0.15302013422818794
Model,IFN,0.31275167785234903
Model,IFN,-0.18120805369127516
Model,IFN,0.3194630872483222
Model,IFN,-0.12080536912751678
Model,IFN,0.10604026845637585
Model,IFN,-0.10067114093959731
Model,IFN,0.15302013422818794
Model,IFN,-0.09395973154362416
Model,IFN,-0.10067114093959731
Model,IFN,-0.087248322147651
Model,IFN,-0.0738255033557047
Model,IFN,-0.087248322147651
Model,IFN,-0.0738255033557047
Model,IFN,-0.06711409395973154
Model,IFN,0.3395973154362416
Model,IFN,-0.053691275167785234
Model,IFN,-0.040268456375838924
Model,IFN,-0.06040268456375839
Model,IFN,-0.053691275167785234
Model,IFN,0.1261744966442953
Model,IFN,0.07919463087248323
Model,IFN,-0.06040268456375839
Model,IFN,-0.087248322147651
Model,IFN,0.0993288590604027
Model,IFN,0.13959731543624163
Model,IFN,-0.040268456375838924
Model,IFN,-0.0738255033557047
Model,IFN,0.3395973154362416
Model,IFN,0.09261744966442954
Model,IFN,0.27919463087248325
Model,IFN,-0.0738255033557047
Model,IFN,0.13959731543624163
Model,IFN,-0.08053691275167785
Model,IFN,-0.0738255033557047
Model,IFN,-0.053691275167785234
Model,IFN,0.10604026845637585
Model,IFN,0.07248322147651007
Model,IFN,0.07248322147651007
Model,IFN,0.2859060402684564
Model,IFN,-0.15436241610738255
Model,IFN,0.09261744966442954
Model,IFN,0.31275167785234903
Model,IFN,-0.0738255033557047
Model,IFN,-0.06040268456375839
Model,IFN,-0.04697986577181208
Model,IFN,-0.06040268456375839
Model,IFN,0.13288590604026845
Model,IFN,-0.06711409395973154
Model,IFN,0.08590604026845639
Model,IFN,0.10604026845637585
Model,IFN,-0.09395973154362416
Model,IFN,0.3395973154362416
Model,IFN,-0.04697986577181208
Model,IFN,-0.0738255033557047
Model,IFN,-0.08053691275167785
Model,IFN,-0.0738255033557047
Model,IFN,-0.14093959731543623
Model,IFN,-0.1610738255033557
Model,IFN,-0.08053691275167785
Model,IFN,0.14630872483221477
Model,IFN,-0.11409395973154363
Model,IFN,-0.053691275167785234
Model,IFN,-0.087248322147651
Model,IFN,-0.08053691275167785
Model,IFN,-0.06040268456375839
Model,IFN,-0.11409395973154363
Model,IFN,-0.06040268456375839
Model,IFN,0.29932885906040274
Model,IFN,-0.0738255033557047
Model,IFN,-0.04697986577181208
Model,IFN,-0.10738255033557047
Model,IFN,-0.053691275167785234
Model,IFN,-0.08053691275167785
Model,IFN,0.05906040268456378
Model,IFN,0.05906040268456378
Model,IFN,0.13288590604026845
Model,IFN,-0.18120805369127516
Model,IFN,0.0993288590604027
Model,IFN,-0.11409395973154363
Model,IFN,-0.06711409395973154
Model,IFN,-0.12751677852348994
Model,IFN,-0.10067114093959731
Model,IFN,-0.026845637583892617
Model,IFN,0.08590604026845639
Model,IFN,-0.12080536912751678
Model,IFN,0.07919463087248323
Model,IFN,0.31275167785234903
Model,IFN,-0.10738255033557047
Model,IFN,-0.09395973154362416
Model,IFN,-0.09395973154362416
Model,IFN,0.15302013422818794
Model,IFN,0.2859060402684564
Model,IFN,0.052348993288590606
Model,IFN,-0.174496644295302
Model,IFN,0.44563758389261743
Model,IFN,0.0993288590604027
Model,IFN,-0.08053691275167785
Model,IFN,-0.053691275167785234
Model,IFN,-0.053691275167785234
Model,IFN,-0.08053691275167785
Model,IFN,0.05906040268456378
Model,IFN,-0.0738255033557047
Model,IFN,-0.06711409395973154
Model,IFN,-0.14093959731543623
Model,IFN,-0.1610738255033557
Model,IFN,-0.0738255033557047
Model,IFN,0.31275167785234903
Model,IFN,0.11946308724832216
Model,IFN,-0.08053691275167785
Model,IFN,-0.04697986577181208
Model,IFN,0.07919463087248323
Model,IFN,-0.12751677852348994
Model,IFN,-0.06040268456375839
Model,IFN,0.11946308724832216
Model,IFN,0.1261744966442953
Model,IFN,0.1261744966442953
Model,IFN,-0.08053691275167785
Model,IFN,-0.087248322147651
Model,IFN,-0.053691275167785234
Model,IFN,0.07248322147651007
Model,IFN,0.13288590604026845
Model,IFN,-0.12080536912751678
Model,IFN,-0.087248322147651
Model,IFN,-0.087248322147651
Model,IFN,-0.10067114093959731
Model,IFN,-0.10738255033557047
Model,IFN,-0.10067114093959731
Model,IFN,-0.03355704697986577
Model,IFN,-0.1342281879194631
Model,IFN,-0.10738255033557047
Model,IFN,0.29932885906040274
Model,IFN,-0.09395973154362416
Model,IFN,0.14630872483221477
Model,IFN,-0.12080536912751678
Model,IFN,-0.040268456375838924
Model,IFN,-0.06711409395973154
Model,IFN,-0.053691275167785234
Model,IFN,0.16644295302013423
Model,IFN,-0.10067114093959731
Model,IFN,0.11946308724832216
Model,IFN,-0.09395973154362416
Model,IFN,-0.15436241610738255
Model,IFN,-0.18791946308724833
Model,IFN,0.0993288590604027
Model,IFN,-0.04697986577181208
Model,IFN,-0.0738255033557047
Model,IFN,-0.1342281879194631
Model,IFN,0.08590604026845639
Model,IFN,-0.11409395973154363
Model,IFN,-0.04697986577181208
Model,IFN,0.13288590604026845
Model,IFN,0.35302013422818795
Model,IFN,-0.0738255033557047
Model,IFN,-0.0738255033557047
Model,IFN,-0.04697986577181208
Model,IFN,-0.053691275167785234
Model,IFN,-0.10738255033557047
Model,IFN,-0.0738255033557047
Model,IFN,-0.12080536912751678
Model,IFN,0.3261744966442953
Model,IFN,-0.1476510067114094
Model,IFN,0.012080536912751683
Model,IFN,0.04563758389261746
Model,IFN,0.11946308724832216
Model,IFN,-0.087248322147651
Model,IFN,-0.1476510067114094
Model,IFN,-0.0738255033557047
Model,IFN,-0.0738255033557047
Model,IFN,-0.09395973154362416
Model,IFN,-0.06711409395973154
Model,IFN,-0.087248322147651
Model,IFN,0.13288590604026845
Model,IFN,-0.10067114093959731
Model,IFN,0.032214765100671144
Model,IFN,-0.09395973154362416
Model,IFN,0.3597315436241611
Model,IFN,-0.09395973154362416
Model,IFN,0.112751677852349
Model,IFN,-0.12080536912751678
Model,IFN,0.4389261744966443
Model,IFN,0.07919463087248323
Model,IFN,0.10604026845637585
Model,IFN,0.10604026845637585
Model,IFN,-0.08053691275167785
Model,IFN,0.09261744966442954
Model,IFN,0.15302013422818794
Model,IFN,-0.11409395973154363
Model,IFN,-0.06040268456375839
Model,IFN,-0.08053691275167785
Model,IFN,-0.10067114093959731
Model,IFN,0.1261744966442953
Model,IFN,-0.040268456375838924
Model,IFN,-0.053691275167785234
Model,IFN,0.1261744966442953
Model,IFN,0.14630872483221477
Model,IFN,0.14630872483221477
Model,IFN,-0.10738255033557047
Model,IFN,0.27919463087248325
Model,IFN,0.07919463087248323
Model,IFN,-0.18120805369127516
Model,IFN,-0.08053691275167785
Model,IFN,0.5463087248322147
Model,IFN,-0.10738255033557047
Model,IFN,0.05906040268456378
Model,IFN,0.1261744966442953
Model,IFN,0.13288590604026845
Model,IFN,-0.0738255033557047
Model,IFN,-0.10738255033557047
Model,IFN,-0.1610738255033557
Model,IFN,-0.087248322147651
Model,IFN,-0.040268456375838924
Model,IFN,-0.12751677852348994
Model,IFN,-0.08053691275167785
Model,IFN,-0.10067114093959731
Model,IFN,-0.10067114093959731
Model,IFN,0.1261744966442953
Model,IFN,0.09261744966442954
Model,IFN,-0.06711409395973154
Model,IFN,-0.0738255033557047
Model,IFN,-0.06711409395973154
Model,IFN,-0.10067114093959731
Model,IFN,-0.053691275167785234
Model,IFN,-0.020134228187919462
Model,IFN,0.10604026845637585
Model,IFN,-0.0738255033557047
Model,IFN,0.07919463087248323
Model,IFN,-0.10738255033557047
Model,IFN,0.10604026845637585
Model,IFN,-0.08053691275167785
Model,IFN,-0.0738255033557047
Model,IFN,-0.11409395973154363
Model,IFN,-0.06040268456375839
Model,IFN,0.29261744966442954
Model,IFN,0.0993288590604027
Model,IFN,-0.11409395973154363
Model,IFN,-0.1476510067114094
Model,IFN,-0.087248322147651
Model,IFN,-0.06711409395973154
Model,IFN,-0.053691275167785234
Model,IFN,-0.10067114093959731
Model,IFN,0.112751677852349
Model,IFN,-0.087248322147651
Model,IFN,-0.1342281879194631
Model,IFN,0.09261744966442954
Model,IFN,-0.06040268456375839
Model,IFN,-0.11409395973154363
Model,IFN,0.07919463087248323
Model,IFN,0.112751677852349
Model,IFN,-0.0738255033557047
Model,IFN,0.13959731543624163
Model,IFN,0.112751677852349
Model,IFN,-0.11409395973154363
Model,IFN,0.10604026845637585
Model,IFN,-0.12080536912751678
Model,IFN,-0.1342281879194631
Model,IFN,-0.087248322147651
Model,IFN,0.13959731543624163
Model,IFN,-0.06040268456375839
Model,IFN,-0.09395973154362416
Model,IFN,0.15302013422818794
Model,IFN,-0.04697986577181208
Model,IFN,0.0993288590604027
Model,IFN,0.2657718120805369
Model,IFN,-0.06040268456375839
Model,IFN,0.09261744966442954
Model,IFN,-0.09395973154362416
Model,IFN,-0.04697986577181208
Model,IFN,0.08590604026845639
Model,IFN,0.13288590604026845
Model,IFN,-0.0738255033557047
Model,IFN,0.4791946308724832
Model,IFN,-0.087248322147651
Model,IFN,0.07248322147651007
Model,IFN,-0.11409395973154363
Control,DAM,12.045333333333334
Control,DAM,12.230666666666666
Control,DAM,11.630666666666666
Control,DAM,11.456
Control,DAM,9.676
Control,DAM,6.64
Control,DAM,11.874666666666666
Control,DAM,9.974666666666666
Control,DAM,10.477333333333334
Control,DAM,12.248
Control,DAM,10.997333333333334
Control,DAM,11.914666666666665
Control,DAM,9.818666666666665
Control,DAM,9.288
Control,DAM,12.392
Control,DAM,11.772
Control,DAM,11.848
Control,DAM,14.546666666666667
Control,DAM,11.752
Control,DAM,11.481333333333334
Control,DAM,9.349333333333334
Control,DAM,9.730666666666666
Control,DAM,10.286666666666665
Control,DAM,11.073333333333334
Control,DAM,8.490666666666666
Control,DAM,7.526666666666666
Control,DAM,10.553333333333335
Control,DAM,10.905333333333333
Control,DAM,10.857333333333333
Control,DAM,11.666666666666666
Control,DAM,10.374666666666666
Control,DAM,11.449333333333334
Control,DAM,10.236
Control,DAM,13.256
Control,DAM,12.133333333333335
Control,DAM,10.562666666666667
Control,DAM,12.574666666666666
Control,DAM,12.637333333333334
Control,DAM,9.352
Control,DAM,13.858666666666666
Control,DAM,10.973333333333334
Control,DAM,12.389333333333333
Control,DAM,12.293333333333333
Control,DAM,10.417333333333334
Control,DAM,10.450666666666667
Control,DAM,8.894666666666666
Control,DAM,7.172
Control,DAM,10.706666666666667
Control,DAM,10.096
Control,DAM,13.061333333333334
Control,DAM,11.910666666666666
Control,DAM,8.870666666666667
Control,DAM,11.56
Control,DAM,13.593333333333334
Control,DAM,12.372
Control,DAM,15.257333333333333
Control,DAM,9.633333333333335
Control,DAM,15.446666666666667
Control,DAM,13.430666666666665
Control,DAM,10.398666666666665
Control,DAM,9.066666666666666
Control,DAM,9.653333333333334
Control,DAM,9.868
Control,DAM,9.981333333333334
Control,DAM,7.338666666666666
Control,DAM,8.62
Control,DAM,9.077333333333334
Control,DAM,12.928
Control,DAM,13.124
Control,DAM,11.62
Control,DAM,10.302666666666665
Control,DAM,12.346666666666666
Control,DAM,11.588
Control,DAM,11.154666666666666
Control,DAM,9.189333333333334
Control,DAM,9.685333333333334
Control,DAM,10.436
Control,DAM,14.490666666666666
Control,DAM,12.394666666666666
Control,DAM,10.852
Control,DAM,11.588
Control,DAM,9.756
Control,DAM,9.564
Control,DAM,12.742666666666667
Control,DAM,14.838666666666667
Control,DAM,9.136
Control,DAM,11.790666666666667
Control,DAM,11.465333333333334
Control,DAM,11.076
Control,DAM,11.772
Control,DAM,11.893333333333334
Control,DAM,10.764
Control,DAM,10.657333333333334
Control,DAM,8.964
Control,DAM,8.202666666666666
Control,DAM,17.12933333333333
Control,DAM,10.506666666666666
Control,DAM,11.726666666666667
Control,DAM,14.724
Control,DAM,8.004
Control,DAM,11.565333333333333
Control,DAM,14.292
Control,DAM,13.069333333333335
Control,DAM,13.910666666666666
Control,DAM,13.672
Control,DAM,12.192
Control,DAM,14.521333333333335
Control,DAM,11.228
Control,DAM,13.072
Control,DAM,12.258666666666667
Control,DAM,9.737333333333334
Control,DAM,9.677333333333333
Control,DAM,8.470666666666666
Control,DAM,12.742666666666667
Control,DAM,11.450666666666667
Control,DAM,13.008
Control,DAM,12.705333333333334
Control,DAM,9.702666666666666
Control,DAM,9.786666666666665
Control,DAM,9.433333333333334
Control,DAM,5.377333333333333
Control,DAM,11.554666666666666
Control,DAM,11.012
Control,DAM,11.185333333333334
Control,DAM,13.002666666666666
Control,DAM,13.966666666666667
Control,DAM,9.674666666666667
Control,DAM,14.033333333333333
Control,DAM,8.994666666666665
Control,DAM,12.168
Control,DAM,9.876
Control,DAM,7.22
Control,DAM,10.846666666666666
Control,DAM,12.022666666666666
Control,DAM,11.345333333333334
Control,DAM,12.569333333333335
Control,DAM,10.778666666666666
Control,DAM,10.317333333333334
Control,DAM,12.298666666666666
Control,DAM,7.890666666666666
Control,DAM,9.169333333333334
Control,DAM,10.732
Control,DAM,10.321333333333333
Control,DAM,11.22
Control,DAM,11.050666666666666
Control,DAM,11.236
Control,DAM,12.382666666666665
Control,DAM,10.561333333333334
Control,DAM,12.065333333333333
Control,DAM,10.430666666666665
Control,DAM,11.326666666666666
Control,DAM,9.414666666666665
Control,DAM,9.094666666666667
Control,DAM,14.441333333333334
Control,DAM,10.450666666666667
Control,DAM,11.057333333333334
Control,DAM,7.402666666666666
Control,DAM,12.581333333333333
Control,DAM,9.986666666666666
Control,DAM,13.626666666666665
Control,DAM,9.605333333333334
Control,DAM,8.712
Control,DAM,10.133333333333335
Control,DAM,12.292
Control,DAM,9.906666666666666
Control,DAM,10.957333333333334
Control,DAM,10.442666666666666
Control,DAM,13.366666666666665
Control,DAM,11.448
Control,DAM,10.241333333333333
Control,DAM,10.648
Control,DAM,8.522666666666666
Control,DAM,11.562666666666667
Control,DAM,11.265333333333334
Control,DAM,9.745333333333335
Control,DAM,8.769333333333334
Control,DAM,9.324
Control,DAM,7.574666666666666
Control,DAM,9.636
Control,DAM,7.504
Control,DAM,9.653333333333334
Control,DAM,11.481333333333334
Control,DAM,12.081333333333333
Control,DAM,8.330666666666666
Control,DAM,10.097333333333333
Control,DAM,7.938666666666666
Control,DAM,11.54
Control,DAM,10.802666666666665
Control,DAM,9.945333333333334
Control,DAM,8.621333333333334
Control,DAM,9.764
Control,DAM,12.434666666666667
Control,DAM,12.574666666666666
Control,DAM,8.32
Control,DAM,8.058666666666666
Control,DAM,11.129333333333333
Control,DAM,10.141333333333334
Control,DAM,7.978666666666666
Control,DAM,8.757333333333333
Control,DAM,10.110666666666667
Control,DAM,12.526666666666666
Control,DAM,10.137333333333334
Control,DAM,10.358666666666666
Control,DAM,11.14
Control,DAM,9.792
Control,DAM,15.156
Control,DAM,12.244
Control,DAM,10.326666666666666
Control,DAM,9.943999999999999
Control,DAM,12.96
Control,DAM,8.452
Control,DAM,6.717333333333333
Control,DAM,10.789333333333333
Control,DAM,8.877333333333334
Control,DAM,8.142666666666667
Control,DAM,6.574666666666667
Control,DAM,8.924
Control,DAM,6.932
Control,DAM,9.293333333333333
Control,DAM,7.436
Control,DAM,11.344
Control,DAM,12.905333333333333
